x,y,token
26.492506,-8.152646,сказать
25.504953,-7.5723143,это
21.288631,-14.690497,фродый
1.8089149,33.228638,свой
32.014015,-6.0884795,знать
-10.741933,2.1090872,который
15.463699,7.163293,гэндальф
39.058613,-23.639143,сэм
-3.0498188,-58.441986,рука
19.424814,-12.357791,хоббит
-14.5484,-0.030100679,стать
2.8769035,-30.406988,глаз
0.2177245,25.037819,время
-13.687584,41.392975,тот
26.549967,12.27259,говорить
26.78072,-7.908447,ты
28.473003,42.100674,мочь
-26.574724,3.172636,чёрный
25.30104,-6.0976887,мы
-2.7964437,12.793113,день
0.16173089,-14.527602,один
-17.629372,43.098034,человек
-62.039726,-7.852149,гора
32.212196,-0.249081,дело
2.799356,18.07434,арагорн
-16.460796,48.68091,эльф
22.96464,2.7497594,такой
19.631351,27.330288,мой
13.375694,5.4492407,идти
18.940826,-4.7277913,очень
21.564295,23.75358,наш
14.412811,20.524918,весь
11.40008,56.03974,кольцо
50.822956,-11.016452,бильбо
23.207718,-0.5879602,сам
-1.4364806,-41.617207,голова
-19.154398,0.8578794,земля
23.670292,5.0635805,видеть
17.052225,6.023442,слово
-1.4928682,51.440456,ибо
8.936172,38.412228,друг
-40.217457,-24.499098,увидеть
13.57567,-16.115881,пин
5.5388246,37.291637,однако
12.381124,14.98359,путь
24.40334,19.76401,хотеть
27.462347,-4.3703194,думать
-26.030003,13.390755,орк
-57.271942,4.637715,дорога
-3.6640952,31.99412,лишь
12.744281,38.625885,твой
21.02811,-7.0244117,какой
-41.892414,1.6282338,стена
-3.044724,-41.544514,нога
10.240097,9.116471,пока
-26.963999,41.13055,гном
11.1185465,-1.6171453,другой
27.146845,-11.610754,мерри
-4.486901,-34.96815,снова
24.946228,22.960493,быть
-50.010002,-24.951183,свет
2.6874332,8.561739,год
30.790003,-5.9517016,спросить
-9.514615,2.9952743,самый
4.1555905,-23.789738,стоять
0.20907885,-19.65742,голос
-26.020782,15.605222,враг
9.851083,58.30789,сила
8.367986,3.637526,пойти
-19.609064,-2.6143606,казаться
6.0412564,-31.254353,лицо
-39.598206,7.0962086,лес
-15.998713,-35.06976,дверь
9.585485,10.509942,остаться
-23.580753,38.612206,край
40.273468,-28.046658,горлум
37.353336,45.57376,конец
-3.148432,35.774765,никто
-6.158225,-5.1015005,дом
-40.398037,-17.07437,дерево
-28.46101,55.21533,сын
-11.379808,-22.677578,вода
24.921896,36.19044,должный
-0.8893859,25.425516,хотя
7.9773116,1.1894352,место
-50.126633,8.873835,река
-39.586193,-29.192928,словно
-45.30808,-3.3007085,сторона
-5.888352,14.294797,последний
5.162711,4.813193,далёкий
-16.137178,42.78953,жить
3.6448824,23.21115,вернуться
-33.910286,2.9729688,они
-53.374058,-24.733423,солнце
-7.570132,-14.294486,ворота
-20.04106,40.921097,великий
